country_name_short,party_name_short,party_name_english,party_name,party_name_ascii,family_name_short,family_name,left_right,state_market,liberty_authority,eu_pro_contra,cmp,euprofiler,ees,castles_mair,huber_inglehart,ray,benoit_laver,chess,country_id,party_id,family_id
AUS,AD,Australian Democrats,Australian Democrats,Australian Democrats,soc,Social democracy,3.76111111111,3.36842110282,,,63321,,,102,203,,4703,,33,120,11
AUS,AG,Australian Greens,Australian Greens,Australian Greens,eco,Green/Ecologist,,1.29824563077,,,,,,,,,4739,,33,751,19
AUS,ALP,Australian Labor Party,Australian Labor Party,Australian Labor Party,soc,Social democracy,3.1,4.03508788661,,,63320,,,101,,,4721,,33,1253,11
AUS,C,Coalition,Coalition,Coalition,all,electoral alliance,,,,,,,,,,,,,33,1428,27
AUS,CDP,Christian Democratic Party,Christian Democratic Party,Christian Democratic Party,chr,Christian democracy,,,,,,,,,,,,,33,1650,3
AUS,CLP,Country Liberal Party,Country Liberal Party,Country Liberal Party,reg,Regional,,,,,,,,,,,,,33,215,9
AUS,DLP,Democratic Labour Party,Democratic Labour Party,Democratic Labour Party,soc,Social democracy,4.16666666667,,,,63330,,,,204,,,,33,1306,11
AUS,FFP,Family First Party,Family First Party,Family First Party,con,Conservative,,,,,,,,,,,,,33,446,26
AUS,LLP,Lang Labour Party,Lang Labour Party,Lang Labour Party,soc,Social democracy,,,,,,,,,,,,,33,303,11
AUS,LNPQ,Liberal National Party of Queensland,Liberal National Party of Queensland,Liberal National Party of Queensland,lib,Liberal,,,,,,,,,,,,,33,154,6
AUS,LPA,Liberal Party of Australia,Liberal Party of Australia,Liberal Party of Australia,con,Conservative,7.15555555556,8.42105263158,,,63620,,,103,205,,4757,,33,1411,26
AUS,NCP,National (Country) Party,National (Country) Party,National (Country) Party,agr,Agrarian,8.06666666667,6.24561410201,,,63810,,,104,206,,4775,,33,184,2
AUS,NPWA,National Party of Western Australia,National Party of Western Australia,National Party of Western Australia,con,Conservative,,,,,,,,,,,,,33,1585,26
AUS,ONP,One Nation Party,One Nation Party,One Nation Party,nat,Nationalist,,5.30075173629,,,,,,,,,4793,,33,386,22
AUS,etc,others,others,others,none,no family,,,,,,,,,,,,,33,1084,12
AUS,none,no party affiliation,no party affiliation,no party affiliation,none,no family,,,,,,,,,,,,,33,1396,12
AUS,todo,to be coded,to be coded,to be coded,none,no family,,,,,,,,,,,,,33,1155,12
AUT,BZO,Alliance for the Future of Austria,Bündnis Zukunft Österreich,Buendnis Zukunft Oesterreich,pop,Populist right,8.83,,,2.5,,8,1040600,,,,,1307,59,1536,25
AUT,FPO,Freedom Party of Austria,Freiheitliche Partei Österreichs,Freiheitliche Partei Oesterreichs,lib,Liberal,8.29555557463,6.82877196161,8.04999995232,1.99166662693,42420,10,1040420,204,311,1303,4811,1303,59,50,6
AUT,GRUENE,The Greens -- The Green Alternative,Die Grünen – Die grüne Alternative,Die Gruenen -- Die gruene Alternative,eco,Green/Ecologist,2.49166669051,2.79859649123,1.69,6.90000007947,42110,9,1040110,,307,1304,4829,1304,59,1429,19
AUT,HPML,Hans-Peter Martin's List,Liste Dr. Hans-Peter Martin – Für echte Kontrolle in Brüssel,Liste Dr. Hans-Peter Martin -- Fuer echte Kontrolle in Bruessel,spec,Special issue,4.2,,,2.85,,,1040951,,,,,1308,59,669,16
AUT,KPO,Communist Party of Austria,Kommunistische Partei Österreichs,Kommunistische Partei Oesterreichs,com,Communist/Socialist,0.5,,,0,42220,3,1040220,201,,1305,,,59,769,14
AUT,LF,Liberal Forum,Liberales Forum,Liberales Forum,lib,Liberal,4.88055553171,7.29999995232,2.09999997616,9.6125,42421,,1040422,,310,1306,,1306,59,955,6
AUT,OVP,Austrian People's Party,Österreichische Volkspartei,Oesterreichische Volkspartei,chr,Christian democracy,6.36666662852,6.98798239256,7.375,9.65833341281,42520,6,1040520,203,309,1302,4847,1302,59,1013,3
AUT,SPO,Social Democratic Party of Austria,Sozialdemokratische Partei Österreichs,Sozialdemokratische Partei Oesterreichs,soc,Social democracy,3.65933333333,3.68701748028,3.69,9.1583332936,42320,11,1040320,202,308,1301,4865,1301,59,973,11
AUT,etc,others,sonstige,sonstige,none,no family,,,,,,,,,,,,,59,389,12
AUT,none,no party affiliation,Parteilose,Parteilose,none,no family,,,,,,,,,,,,,59,272,12
AUT,todo,to be coded,to be coded,to be coded,none,no family,,,,,,,,,,,,,59,1039,12
BEL,AGIR,Regionalist initiative,Avant-garde d'initiative régionaliste,Avant-garde d'initiative regionaliste,reg,Regional,,,,,,,,,,,,,64,461,9
BEL,AGL-Gr,Agalev -- Groen,Agalev – Groen,Agalev -- Groen,eco,Green/Ecologist,2.82822221692,2.13522122701,1.4,7.38333333333,21112,13,1056112,305,401,105,4963,105,64,1594,19
BEL,BSP-PSB,Belgian Socialist Party,Belgische Socialistische Partij – Parti Socialiste Belge,Belgische Socialistische Partij -- Parti Socialiste Belge,soc,Social democracy,2.5,,,,21320,,,302,,,,,64,167,11
BEL,CD&V,Christian Democrats & Flemish,Christen-Democratisch en Vlaams,Christen-Democratisch en Vlaams,chr,Christian democracy,5.77194441795,5.59579702143,7.1875,9.37453701496,21521,12,1056521,307,,109,4883,109,64,1310,3
BEL,CD&V/N-VA,Christian-Democrat and Flemish/New Flemish Alliance, Christen-Democratisch & Vlaams/Nieuw-Vlaams Alliantie, Christen-Democratisch & Vlaams/Nieuw-Vlaams Alliantie,all,electoral alliance,,,,,,,,,,,,,64,972,27
BEL,CSP,Christian Social Party,Christlich Soziale Partei,Christlich Soziale Partei,chr,Christian democracy,,,,,,,,,,,,,64,119,3
BEL,CVP,Flemish Christian Peoples Party,Christelijke Volkspartij,Christelijke Volkspartij,chr,Christian democracy,5.72866664547,5.59579702143,7.1875,9.37453701496,21521,,,307,406,109,4883,109,64,723,3
BEL,CVV,Flemish Christian Peoples Union,Christelijke Vlaamse Volksunie,Christelijke Vlaamse Volksunie,chr,Christian democracy,6.42922222222,5.46456140351,4.835,6.69583333333,21913,,,309,407,110,5003,110,64,361,3
BEL,Ecolo,Confederated ecologists for the organisation of original struggles,Écologistes Confédérés pour l'organisation de luttes originales,Ecologistes Confederes pour l'organisation de luttes originales,eco,Green/Ecologist,2.91133332274,2.01825397224,1.425,7.68657402992,21111,23,1056111,305,402,104,4923,104,64,161,19
BEL,FDF,Francophone Democratic Front,Front Démocratique des Francophones,Front Democratique des Francophones,eth,Ethnic,6.12592594359,6.25,5.80000019073,8.72738089561,21912,,,306,408,111,,111,64,969,17
BEL,FDF/RW,Democratic Front of the Francophones / Walloon Rally,Front Démocratique des Francophones / Rassemblement wallon,Front Democratique des Francophones / Rassemblement wallon,code,to be coded,,,,,,,,,,,,,64,60,28
BEL,FN,National Front,Front National,Front National,nat,Nationalist,9.88888931274,8.08313394848,9.75,1.90476179123,,,1056710,,,,4943,115,64,171,22
BEL,FW,Walloon Front,Front Wallon,Front Wallon,code,to be coded,,,,,,,,,,,,,64,580,28
BEL,FWT,Walloon Labour Front,Front Wallon des travailleurs,Front Wallon des travailleurs,com,Communist/Socialist,,,,,,,,,,,,,64,1564,14
BEL,GU,United Left,Gauches unies,Gauches unies,com,Communist/Socialist,,,,,,,,,,,,,64,186,14
BEL,ID21,Integral Democracy for the 21th Century,Integrale Democratie voor de 21ste Eeuw / Vernieuwingsbeweging – Démocratie intégrale pour le 21e siècle / Mouvement du renouveau,Integrale Democratie voor de 21ste Eeuw / Vernieuwingsbeweging -- Democratie integrale pour le 21e siecle / Mouvement du renouveau,lib,Liberal,5.14285707474,5.14285707474,4,6.04166666667,21915,,,,,,,114,64,1340,6
BEL,KLS,Cartel of Liberals and Socialists ,Kartel Liberale en Socialistische,Kartel Liberale en Socialistische,all,electoral alliance,,,,,,,,,,,,,64,1335,27
BEL,KPB-PCB,Communist Party,Kommunistische Partij – Parti Communiste,Kommunistische Partij -- Parti Communiste,com,Communist/Socialist,1.4,,,4.45,,,,301,,101,,,64,708,14
BEL,LC,Catholics Lists,Listes catholiques,Listes catholiques,spec,Special issue,,,,,,,,,,,,,64,1268,16
BEL,LD,List Dedecker,Lijst Dedecker,Lijst Dedecker,lib,Liberal,,,,,,14,1056600,,,,,,64,221,6
BEL,LP-PL,Liberal Party,Liberale Partij – Parti libéral,Liberale Partij -- Parti liberal,lib,Liberal,6.7070370547,7.5375,4.3375,9.37777771155,21420,,,,,106,,107,64,63,6
BEL,M/CM,Middenstand / Classes Moyennes,Middenstand / Classes Moyennes,Middenstand / Classes Moyennes,code,to be coded,,,,,,,,,,,,,64,236,28
BEL,MCC,Citizens' Movement for Change,Mouvement des Citoyens pour le Changement,Mouvement des Citoyens pour le Changement,chr,Christian democracy,5.57142877579,5.80000019073,5.80000019073,9.04761870702,,,,,,,,113,64,656,3
BEL,MR,Reformist Movement,Mouvement Réformateur,Mouvement Reformateur,lib,Liberal,6.82166662693,7.09122807018,4.65714292526,9.00308630202,21422,22,1056427,310,,,4983,106,64,915,6
BEL,N-VA,New Flemish Alliance,Nieuw-Vlaamse Alliantie,Nieuw-Vlaamse Alliantie,con,Conservative,6.42922222222,5.46456140351,4.835,6.69583333333,21913,15,1056913,309,407,110,5003,110,64,501,26
BEL,P/F/M,Liberal Reformation Party / Francophone Democratic Front / Citizens' Movement,Parti réformateur libéral / Front démocratique francophone / Mouvement des Citoyens pour la Changement,Parti reformateur liberal / Front democratique francophone / Mouvement des Citoyens pour la Changement,lib,Liberal,,,,,21425,,,,,,,,64,331,6
BEL,PDB,Party of German-speaking Belgians,Partei der deutschsprachigen Belgier,Partei der deutschsprachigen Belgier,eth,Ethnic,,,,,,,,,,,,,64,222,17
BEL,PFF,Party for Freedom and Progress,Partei für Freiheit und Fortschritt,Partei für Freiheit und Fortschritt,lib,Liberal,,,,,,,,,,,,,64,1237,6
BEL,PL,Brussels Liberal Party,Parti Libéral,Parti Liberal,lib,Liberal,,,,,21424,,,,,,,,64,640,6
BEL,PRL,Liberal Reformist Party,Parti Réformateur Libéral,Parti Reformateur Liberal,lib,Liberal,6.85511107932,7.15,4.65714292526,9.08564805984,21422,,,310,409,107,,106,64,454,6
BEL,PRL/FDF,Liberal Reformation Party / Francophone Democratic Front,Parti Réformateur Libéral / Front Démocratique des Francophones,Parti Reformateur Liberal / Front Democratique des Francophones,lib,Liberal,6.56222216924,7.15,4.65714292526,9.00308630202,21423,,,,,,,106,64,168,6
BEL,PS,Francophone Socialist Party,Parti Socialiste,Parti Socialiste,soc,Social democracy,3.15888889949,2.40173353229,3.9375,8.61111104488,21322,24,1056322,302,403,102,5023,102,64,1378,11
BEL,PSC,Francophone Christian Social Party,Parti Social Chrétien,Parti Social Chretien,chr,Christian democracy,5.5811111323,5.21814396507,6.66428561211,9.23287034829,21522,21,1056522,308,405,108,4903,108,64,1192,3
BEL,PSC-CVP,Francophone Christian Social Party and Flemish Christian People's Party,Parti Social Chrétien – Christelijke Volkspartij,Parti Social Chretien -- Christelijke Volkspartij,chr,Christian democracy,,,,,21520,,,,,,,,64,1051,3
BEL,PSI,Independent Socialists,Parti social indépendant,Parti social independant,com,Communist/Socialist,,,,,,,,,,,,,64,790,14
BEL,PVV,Party of Liberty and Progress,Partij voor Vrijheid en Vooruitgang,Partij voor Vrijheid en Vooruitgang,lib,Liberal,6.98027779102,7.72522877476,4.3375,9.37777771155,21421,16,1056421,311,,106,5083,107,64,1110,6
BEL,PWE,Walloon Presence in Europe,Présence Wallonne en Europe,Presence Wallonne en Europe,reg,Regional,,,,,,,,,,,,,64,1222,9
BEL,Pp,People's Party,Parti populaire,Parti populaire,con,Conservative,,,,,,,,,,,,,64,438,26
BEL,Pv,Workers' Party of Belgium,Partij van de Arbeid – Parti du Travail de Belgique,Partij van de Arbeid -- Parti du Travail de Belgique,com,Communist/Socialist,,,,,,17,1056222,,,,,,64,256,14
BEL,RAD,Respect of Labour and Democracy,Respect voor Arbeid en Democratie,Respect voor Arbeid en Democratie,pop,Populist right,,,,,,,,,,115,,,64,1099,25
BEL,ROSSEM,Radical Reformers Fighting for an Upright Society,Radikale Omvormers Strijdersen Stubbelaars vor Maatschappij,Radikale Omvormers Strijdersen Stubbelaars vor Maatschappij,lib,Liberal,,,,,,,,,,113,,,64,748,6
BEL,RW,Walloon Rally,Rassemblement Wallon,Rassemblement Wallon,code,to be coded,2.6,,,,21911,,,303,,,,,64,460,28
BEL,RWF,Rally Wallonia France,Rassemblement Wallonie France,Rassemblement Wallonie France,reg,Regional,,,,,,,,,,,,,64,578,9
BEL,RvA-UpD,Respect for Labour,Respect voor Arbeid en Democratie – Union pour la Democratie et le Respect du Travail,Respect voor Arbeid en Democratie -- Union pour la Democratie et le Respect du Travail,nat,Nationalist,9.2,,,,,,,312,,,,,64,1440,22
BEL,SLP,Social Liberal Party,Sociaal-Liberale Partij,Sociaal-Liberale Partij,lib,Liberal,,,,,,20,1056328,,,,,,64,1487,6
BEL,SP,Socialist Party,Socialistische Partij,Socialistische Partij,soc,Social democracy,3.30177776188,3.14769263017,3.885,8.35277771155,21321,18,1056327,304,404,103,5043,103,64,1029,11
BEL,SPA/Spirit,Socialist Party Different / Social Liberal Party,Socialistische Partij Anders / Sociaal-Liberale Partij,Socialistische Partij Anders / Sociaal-Liberale Partij,all,electoral alliance,,,,,,,,,,,,,64,1113,27
